user_id,dataset_name,dataset_path,target_col
mithi2005,ce6b84ad3f4143998e12f24314fdeb89_synthetic_car_prices,storage/mithi2005/datasets/regression/ce6b84ad3f4143998e12f24314fdeb89_synthetic_car_prices.csv,Price
mithi2005,832bd2ff95974a2c90263fad3b35a77d_agricultural_dataset,storage/mithi2005/datasets/regression/832bd2ff95974a2c90263fad3b35a77d_agricultural_dataset.csv,modal_price
mithi2005,9977838780b241139ed9bca474867155_cardekho_imputated,storage/mithi2005/datasets/regression/9977838780b241139ed9bca474867155_cardekho_imputated.csv,selling_price
mithi2005,053ace53a0c3434a8a269991ca4e385c_StudentPerformanceFactors,storage/mithi2005/datasets/regression/053ace53a0c3434a8a269991ca4e385c_StudentPerformanceFactors.csv,Exam_Score
mithi2005,050bd003ec4e4c67b116efddeb6ab372_StudentPerformanceFactors,storage/mithi2005/datasets/regression/050bd003ec4e4c67b116efddeb6ab372_StudentPerformanceFactors.csv,Exam_Score
mithi2005,eecd117425a54158b4b8603678ee9d0d_synthetic_car_prices,storage/mithi2005/datasets/regression/eecd117425a54158b4b8603678ee9d0d_synthetic_car_prices.csv,Price
mithi2005,aa2a60bdda3144d594f371d7ece1053d_synthetic_car_prices,storage/mithi2005/datasets/regression/aa2a60bdda3144d594f371d7ece1053d_synthetic_car_prices.csv,Price
mithi2005,bcedf556950f4b8b9fd1e5c11ee81607_synthetic_car_prices,storage/mithi2005/datasets/regression/bcedf556950f4b8b9fd1e5c11ee81607_synthetic_car_prices.csv,Price
mithi2005,0ed5e380b9a0451c947dac68a227c046_StudentPerformanceFactors,storage/mithi2005/datasets/regression/0ed5e380b9a0451c947dac68a227c046_StudentPerformanceFactors.csv,Exam_Score
mithi2005,09b86fb68af14364a10364f1a4ee066c_synthetic_car_prices,storage/mithi2005/datasets/regression/09b86fb68af14364a10364f1a4ee066c_synthetic_car_prices.csv,Price
mithi2005,8665e1533996456b93952c094d86151c_StudentPerformanceFactors,storage/mithi2005/datasets/regression/8665e1533996456b93952c094d86151c_StudentPerformanceFactors.csv,Exam_Score
mithi2005,6eda98c3231b4126b08567fc2aea6f8f_StudentPerformanceFactors,storage/mithi2005/datasets/regression/6eda98c3231b4126b08567fc2aea6f8f_StudentPerformanceFactors.csv,Exam_Score
mithi2005,5913473a0e9a4683b313b69ea6a4b646_synthetic_car_prices,storage/mithi2005/datasets/regression/5913473a0e9a4683b313b69ea6a4b646_synthetic_car_prices.csv,Price
mithi2005,10af24fccdd34b0490dbcc76baddcae8_synthetic_car_prices,storage/mithi2005/datasets/regression/10af24fccdd34b0490dbcc76baddcae8_synthetic_car_prices.csv,Price
mithi2005,571d60d85d4b4880ab6e0cfce1f1cf70_synthetic_car_prices,storage/mithi2005/datasets/regression/571d60d85d4b4880ab6e0cfce1f1cf70_synthetic_car_prices.csv,Price
