dataset_name,task_type,best_model,score,train_time_sec
45013_jannis.csv,Classification,GradientBoosting,0.78719462776427,0.6113
45014_jannis.csv,Classification,GradientBoosting,0.78719462776427,0.5839
45015_jannis.csv,Classification,GradientBoosting,0.78719462776427,0.5873
45018_electricity.csv,Classification,RandomForest,0.865038115038115,0.6261
45081_Tallo.csv,Regression,RandomForest,0.8384546703875496,30.5513
45082_SignMNIST.csv,Regression,RandomForest,0.8264795018895397,24.5826
45108_DutchTwitterDataset.csv,Classification,RandomForest,0.9962765957446809,2.9322
4532_higgs.csv,Classification,GradientBoosting,0.7205522306855278,0.7673
4544_GeographicalOriginalofMusic.csv,Regression,Ridge,0.5989132839044504,0.002
4549_Buzzinsocialmedia_Twitter.csv,Regression,LinearRegression,0.9626755335253937,0.011
46147_child.csv,Regression,PolynomialRegression,0.7818316599517043,0.0244
46167_hdfail.csv,Regression,GradientBoosting,0.7762645873456461,0.205
46301_UNSW_NB15.csv,Classification,KNN,0.8887661141804788,0.036
46337_Conso_RTE.csv,Regression,RandomForest,0.9961198505590033,13.9452
46340_french_load_consumption.csv,Regression,RandomForest,0.9965947601135041,14.6797
46457_Credit_Score_Classification_downsampled.csv,Classification,GradientBoosting,0.5008113590263692,0.8073
46538_dataset_default_of_credit_card_clients.csv,Classification,GradientBoosting,0.7888765294771969,0.433
46656_ae_price_prediction.csv,Regression,GradientBoosting,0.9489881500849395,0.235
46660_mercari_price_suggestion100K.csv,Regression,DecisionTree,0.9301095088075697,0.2105
46662_news_popularity2.csv,Regression,SVR,0.006252546979170104,0.2661
46695_convai2_inferred.csv,Regression,GradientBoosting,-0.0006925432270976639,0.4207
46696_light_inferred.csv,Regression,Ridge,-1.4930945991364908e-05,0.007
46697_opensubtitles_inferred.csv,Regression,GradientBoosting,-0.006345454777445969,0.6725
46710_UCC.csv,Regression,SVR,-0.058618045537401686,0.1782
46724_cybersecurity_attacks.csv,Regression,Lasso,-1.936400924718029e-05,0.031
46725_Crime_Data_from_2010.csv,Regression,GradientBoosting,0.27669755052687905,2.6266
46736_methane_emissions_rice_crop.csv,Regression,RandomForest,0.989143417833386,2.9398
46747_IoT_Agriculture_2024.csv,Regression,DecisionTree,0.021963725323963734,0.019
46787_Sberbank_Russian_Housing_Market.csv,Regression,GradientBoosting,-0.008222279972172508,0.2043
46886_mercari_price_suggestion100K.csv,Regression,DecisionTree,0.923489036714684,0.152
46890_UCC.csv,Regression,SVR,-0.05581768573675716,0.1441
46895_cybersecurity_attacks.csv,Regression,ElasticNet,-1.936400924718029e-05,0.022
46898_Sberbank_Russian_Housing_Market.csv,Regression,GradientBoosting,-0.03521890920688797,0.2002
46923_diamonds.csv,Regression,GradientBoosting,0.9736484098555689,0.3658
46928_Food_Delivery_Time.csv,Regression,GradientBoosting,0.2576470921696804,0.2446
46934_houses.csv,Regression,RandomForest,0.8382583623517971,1.4507
46949_physiochemical_protein.csv,Regression,RandomForest,0.5807063672462858,4.4389
46961_superconductivity.csv,Regression,RandomForest,0.8554461343477715,2.566
