n_instances,n_features,n_num_features,n_cat_features,missing_values_pct,class_entropy,n_classes,mean_skewness,mean_kurtosis,avg_correlation,max_correlation,mean_corr_with_target,max_corr_with_target,mean_mutual_info,max_mutual_info,pca_fraction_95,feature_to_instance_ratio,task_type,best_model
319480,34,34,5,0.0,1.0,2,1.26119583745608,5.550755181392171,0.064946197193358,0.857542440215974,0.1226314303570487,0.9993267982266116,0.1031224532501507,0.7445954715352219,0.7058823529411765,0.000106422937273,classification,KNN
147568,24,24,6,10.259745694319072,1.0,2,0.6115937907107499,10.291850332273173,0.1168906451561348,0.9071565760447032,0.0,0.0,0.2007521400853536,0.3550794182579406,0.8095238095238095,0.0001626368860457,classification,GradientBoosting
119204,5,5,2,0.0001111111111111,1.5053254910196596,8,0.2931287533204939,-0.053850812332189,0.3138895289866915,0.6797395357439835,0.0079895656225645,0.0122903018177525,0.0017727476255679,0.0079587943620267,0.8,4.194490117781282e-05,classification,LinearSVC
284,10,10,0,0.0,2.0,4,0.3452695060006718,-1.2810925714122257,0.2473445041987871,0.4905405236794475,0.3821765695499192,0.5128044647955603,0.1401011465772503,0.1961937348649924,0.9,0.0352112676056338,classification,LogisticRegression
270,4,4,0,0.0,2.321928094887362,5,-0.0542661993013233,-1.2125182465673756,0.0834469810107736,0.1189816972530345,0.2909465326434822,0.5049581085236333,0.1412007730630416,0.1789766115931561,1.0,0.0148148148148148,classification,LogisticRegression
187,4,4,0,0.0,2.980528486726877,9,0.0311449951405956,-1.0682751234338048,0.0676370632062564,0.1727738143249959,0.0796986015769183,0.1675188342849646,0.0,0.0,1.0,0.0213903743315508,classification,LogisticRegression
36,8,8,0,0.0,1.0,2,0.3906557638719582,0.283388867511376,0.0746805875019747,0.217523774004887,0.1389858832973497,0.4555725102926447,0.0486485036387741,0.1688050517022592,1.0,0.2222222222222222,classification,GradientBoosting
38,8,8,0,0.0,1.0,2,0.081148226004556,-0.008358377599203,0.0550717683627253,0.1604706516440898,0.1800652939914196,0.6330027964864644,0.0791820105983368,0.2816750247696002,1.0,0.2105263157894736,classification,GradientBoosting
4492,4,4,0,0.0,1.0,2,0.2915264916002869,-0.2480829396992849,0.3309700035994378,0.7218391594345038,0.5331250719901152,0.7436484207146611,0.3090184745908932,0.5035735804556047,1.0,0.0008904719501335,classification,SVC
824,24,24,0,0.0,1.0,2,1.7118963419132485,15.991182549777813,0.0772685953557049,0.7499390616862203,0.1289607688483935,0.4292111775869415,0.0771972543902182,0.2150438557466862,0.8333333333333334,0.029126213592233,classification,RandomForest
