n_instances,n_features,n_num_features,n_cat_features,missing_values_pct,mean_skewness,mean_kurtosis,avg_correlation,max_correlation,mean_corr_with_target,max_corr_with_target,pca_fraction_95,var_mean,var_std,mean_feature_entropy,feature_to_instance_ratio,task_type,best_model
127221,7,7,6,11.11111111111111,0.1320123763237845,0.1141228182046887,5.65226855946379e-16,1.6550805174566785e-15,0.2296048175759781,0.5610146359825876,1.0,2.5617317295194012e-34,0.1482733709629511,1.8631189138221151,5.502236266025264e-05,regression,RandomForest
2223,23,23,1,10.522758981513777,3.303541716948279,59.83608730272337,0.2637667072996285,0.8803578860425847,0.1787629806267483,0.4580224187709429,0.6363636363636364,5.0182831014468345e-30,1.8312842442630632e-31,1.306427749298814,0.0103463787674314,regression,GradientBoosting
350,11,11,0,0.0,-0.0345830573984211,-1.4054892765326026,0.0429394434232862,0.155184897973629,0.0445236535756851,0.1773261955379704,1.0,1.1473001855287568,0.0704427974187884,1.7205658828426886,0.0314285714285714,regression,LinearRegression
929,8,8,3,0.0,0.7468567600827503,-0.6734012183003472,0.0763440338515969,0.348235248233312,0.1900106292834136,0.7749202907670545,0.875,0.1226675499773476,0.1089525147860841,1.0784037452918884,0.0086114101184068,regression,GradientBoosting
13389,20,20,1,0.0,2.7588048360407416,74.80208501288494,0.1751164424791672,0.8367788313135675,0.1169947338104929,0.7569498208241066,0.7894736842105263,3.773284858165432,0.0295443643589416,1.2762791379628318,0.001493763537232,regression,ElasticNet
12767,20,20,1,0.0,2.943626305516246,90.25951460125796,0.1674264081266303,0.8359159672431234,0.2286588956249525,0.5902331073388701,0.7894736842105263,3.769211294213836,0.0277385340534026,1.2408937149970454,0.0015665387326701,regression,GradientBoosting
2773,11,11,9,15.4925,0.8797689495771155,4.504164760392003,0.4997856565043942,0.8321753091477577,0.603899737377952,0.9895908063962902,0.7272727272727273,0.994604479709609,0.1116144387296873,1.146041273285472,0.0039668229354489,regression,KNN
33979,20,20,0,0.0,0.4112607757469357,0.1091461755504144,0.0045596356475528,0.0149625366575245,0.2210249073381449,0.229338939694571,0.95,0.0001588776879527,7.410580635400296e-05,1.6942142168806311,0.0005885988404602,regression,LinearRegression
908,28,28,9,0.0,4.469941874882255,58.95504522435984,0.1323961117560428,0.7386114438068204,0.3146863462681326,0.7999384645953741,0.7407407407407407,130084653.8826941,7428491.797716939,0.6434987210382611,0.0308370044052863,regression,Ridge
7190,9,9,3,0.2759009009009009,0.458028096057495,-0.1083038539300982,0.2099518193409358,0.9100331886680456,0.4129918176295798,0.9966850272758262,0.6666666666666666,0.0817891425938213,0.0977293990214586,1.355472162734812,0.0012517385257301,regression,KNN
12000,44,44,6,0.0,1.7448648336142427,9.350615493694066,0.0329779657269269,0.9443681181969968,0.1400249017520705,1.0,0.7727272727272727,67.10564952893763,12.814392435796298,0.9951356924765036,0.0036666666666666,regression,SVR
116311,3,3,18,2.5408602312422466,51.06582994345812,13508.028194062064,9.46074366053923e-16,1.6439515050381252e-15,0.1235249508614846,0.3488088676646723,1.0,4.648618831818999e-26,312363.5830937378,0.016873890847056,2.5792917264919053e-05,regression,KNN
2968,7,7,6,3.968131055013508,0.2132129568926776,0.5882315245894925,0.2104480394375242,0.9056064362652888,0.2975750457542491,0.9999999999999992,0.7142857142857143,581056.28864628,0.7460298817832632,1.6718074343150295,0.0023584905660377,regression,KNN
69519,45,45,7,0.0,1.6758790641887278,20.83812420255847,0.0392969236391075,0.9954600097943984,0.1334100404803183,0.7320639361691024,0.7555555555555555,0.1102997373460727,0.1183595816798932,1.0217982652771989,0.0006473050532947,regression,PolynomialRegression
33384,15,15,11,2.077814447026092,0.4588837328722761,6.008752973560436,0.2046885389362926,0.8857315856077125,0.3775816277508327,0.9926680040010384,0.8,4.0781111227682206e-29,5.28255070460499e-32,1.191586436320633,0.000449317038102,regression,KNN
